iteration,current_cost,best_cost
1,782.0,782.0
2,771.0332184076802,771.0332184076802
3,653.4907551913012,653.4907551913012
4,694.9584569455667,653.4907551913012
5,675.6661737627271,653.4907551913012
6,781.4969244457876,653.4907551913012
7,675.0580393988768,653.4907551913012
8,736.3675368581046,653.4907551913012
9,833.6469380437771,653.4907551913012
10,772.1251220196782,653.4907551913012
11,655.1569552189831,653.4907551913012
12,656.7052038086262,653.4907551913012
13,698.7804692132839,653.4907551913012
14,575.5652326237487,575.5652326237487
15,617.3161240202626,575.5652326237487
16,682.7525099441151,575.5652326237487
17,647.4161714034134,575.5652326237487
18,737.6036095989439,575.5652326237487
19,617.4330967174501,575.5652326237487
20,596.4438789575124,575.5652326237487
21,600.478500515222,575.5652326237487
22,632.4004620972042,575.5652326237487
23,621.9505357886461,575.5652326237487
24,701.3801327216419,575.5652326237487
25,606.6418491651264,575.5652326237487
26,617.7634595000291,575.5652326237487
27,639.0164223949494,575.5652326237487
28,605.3672439211088,575.5652326237487
29,620.146828151208,575.5652326237487
30,611.5753878002871,575.5652326237487
31,618.6566500485648,575.5652326237487
32,560.1435628207821,560.1435628207821
33,609.076536101263,560.1435628207821
34,584.0191059557094,560.1435628207821
35,587.5557557026834,560.1435628207821
36,572.5136931466521,560.1435628207821
37,608.6161453604652,560.1435628207821
38,536.2360592337756,536.2360592337756
39,594.7177523411127,536.2360592337756
40,555.783204370256,536.2360592337756
41,588.1855249677087,536.2360592337756
42,579.2425142207886,536.2360592337756
43,572.2716106238207,536.2360592337756
44,565.9046851036516,536.2360592337756
45,581.316834635827,536.2360592337756
46,540.773795653437,536.2360592337756
47,538.2416394697705,536.2360592337756
48,534.6880367190756,534.6880367190756
49,549.4333117581979,534.6880367190756
50,522.6507403556111,522.6507403556111
51,543.5038946444009,522.6507403556111
52,527.683427711576,522.6507403556111
53,517.7868251613501,517.7868251613501
54,515.2702785681779,515.2702785681779
55,515.1886345945906,515.1886345945906
56,507.16744078942526,507.16744078942526
57,520.1137240031086,507.16744078942526
58,519.6034759574733,507.16744078942526
59,517.297742081899,507.16744078942526
60,503.7414144348949,503.7414144348949
61,507.11100661781256,503.7414144348949
62,502.47917302200966,502.47917302200966
63,503.74323666932395,502.47917302200966
64,499.52402863801825,499.52402863801825
65,494.8838214778796,494.8838214778796
66,482.4178037358173,482.4178037358173
67,488.3314148633888,482.4178037358173
68,487.02485114365,482.4178037358173
69,480.8740588701579,480.8740588701579
70,480.2064331793457,480.2064331793457
71,473.57304308764645,473.57304308764645
72,474.9821538498956,473.57304308764645
73,475.50853194262766,473.57304308764645
74,478.40597457616127,473.57304308764645
75,468.624668,468.624668
76,470.91977153889553,468.624668
77,468.6765554883983,468.624668
78,470.6119502597613,468.624668
79,468.80738544019897,468.624668
80,469.0464220410696,468.624668
81,470.1240874389117,468.624668
82,470.2994180729534,468.624668
83,468.89199568727076,468.624668
84,468.8041908336087,468.624668
85,470.40132681822803,468.624668
86,468.8817790487022,468.624668
87,470.6956688922021,468.624668
88,470.75584011588137,468.624668
89,470.84420271575266,468.624668
90,469.35945553935005,468.624668
91,469.8587884582774,468.624668
92,468.6732188441678,468.624668
93,469.8303055285762,468.624668
94,469.18758488429074,468.624668
95,469.06181586578293,468.624668
96,468.88396879731255,468.624668
97,469.46690323814704,468.624668
98,468.80772960252625,468.624668
99,468.70085154610274,468.624668
100,468.76606599139075,468.624668
