iteration,current_cost,best_cost
1,768.5,768.5
2,785.186370502764,768.5
3,705.0124878938565,705.0124878938565
4,774.0296485294504,705.0124878938565
5,845.3327890758469,705.0124878938565
6,685.2,685.2
7,663.0876946769005,663.0876946769005
8,656.292805510599,656.292805510599
9,793.564646802422,656.292805510599
10,719.362613164034,656.292805510599
11,620.4482975706592,620.4482975706592
12,685.2270093011541,620.4482975706592
13,610.7469004907746,610.7469004907746
14,620.4,610.7469004907746
15,600.8982952832763,600.8982952832763
16,636.8303766938138,600.8982952832763
17,512.1222137725119,512.1222137725119
18,520.9820091864574,512.1222137725119
19,577.5958488461034,512.1222137725119
20,551.8162962308305,512.1222137725119
21,609.1261822899575,512.1222137725119
22,542.1,512.1222137725119
23,546.417118805506,512.1222137725119
24,522.9064768424597,512.1222137725119
25,629.569525320169,512.1222137725119
26,560.7338754030069,512.1222137725119
27,566.2985143406199,512.1222137725119
28,511.969064855966,511.969064855966
29,537.0500521682387,511.969064855966
30,552.8067480184903,511.969064855966
31,511.60346314132323,511.60346314132323
32,550.4090410322102,511.60346314132323
33,519.69089952945,511.60346314132323
34,523.5823493330809,511.60346314132323
35,492.6,492.6
36,508.14163508353835,492.6
37,557.9314934072673,492.6
38,512.801888418927,492.6
39,487.66361824877333,487.66361824877333
40,520.0727427325469,487.66361824877333
41,477.9705485609238,477.9705485609238
42,499.53910177296706,477.9705485609238
43,459.2419277796616,459.2419277796616
44,466.5289555019461,459.2419277796616
45,486.38775481518337,459.2419277796616
46,489.96843154050566,459.2419277796616
47,477.6016123558166,459.2419277796616
48,452.3,452.3
49,465.73374885100066,452.3
50,459.58998072083733,452.3
51,442.2991150687518,442.2991150687518
52,447.44028508756514,442.2991150687518
53,446.6034892313508,442.2991150687518
54,458.0996152816044,442.2991150687518
55,446.96968294718727,442.2991150687518
56,424.793274,424.793274
57,438.88233418587384,424.793274
58,429.0859764360346,424.793274
59,424.793274,424.793274
60,424.793274,424.793274
61,428.11198795699767,424.793274
62,430.13534937852086,424.793274
63,429.4015157153473,424.793274
64,428.7590924997287,424.793274
65,426.1887376561644,424.793274
66,426.22097916336355,424.793274
67,428.80855338889035,424.793274
68,426.6767723231238,424.793274
69,425.4902071156366,424.793274
70,428.75938771551614,424.793274
71,428.88859638190536,424.793274
72,427.44985116565863,424.793274
73,429.0279988088895,424.793274
74,425.00800045330976,424.793274
75,427.6510421543972,424.793274
76,425.77676510599485,424.793274
77,426.46876640021895,424.793274
78,425.6896461616047,424.793274
79,428.436411186411,424.793274
80,424.87431616450465,424.793274
81,428.1733856916515,424.793274
82,430.1980539488149,424.793274
83,426.4126311928072,424.793274
84,424.95706116699944,424.793274
85,425.3305667231602,424.793274
86,424.9507409971926,424.793274
87,428.05057605311197,424.793274
88,425.13708018963064,424.793274
89,425.32703608295594,424.793274
90,426.90282122023206,424.793274
91,425.4997632808658,424.793274
92,425.8457913972478,424.793274
93,425.4170799954577,424.793274
94,425.8801283579655,424.793274
95,425.1660346302095,424.793274
96,425.36692203719633,424.793274
97,425.32405242590386,424.793274
98,424.889145987119,424.793274
99,425.70684211382627,424.793274
100,425.42561250103057,424.793274
